id,hex
500463 ,  \xef\xa2\x07\x00
500464 ,  \xf0\xa2\x07\x00
500465 ,  \xf1\xa2\x07\x00
500466 ,  \xf2\xa2\x07\x00
500467 ,  \xf3\xa2\x07\x00
500468 ,  \xf4\xa2\x07\x00
500470 ,  \xf6\xa2\x07\x00
500471 ,  \xf7\xa2\x07\x00
500472 ,  \xf8\xa2\x07\x00
500473 ,  \xf9\xa2\x07\x00
500474 ,  \xfa\xa2\x07\x00
500475 ,  \xfb\xa2\x07\x00
500476 ,  \xfc\xa2\x07\x00
500477 ,  \xfd\xa2\x07\x00
500479 ,  \xff\xa2\x07\x00
500480 ,  \x00\xa3\x07\x00
500481 ,  \x01\xa3\x07\x00
500483 ,  \x03\xa3\x07\x00
500484 ,  \x04\xa3\x07\x00
500485 ,  \x05\xa3\x07\x00
501021 ,  \x1d\xa5\x07\x00
501022 ,  \x1e\xa5\x07\x00
501023 ,  \x1f\xa5\x07\x00
501024 ,  \x20\xa5\x07\x00
501151 ,  \x9f\xa5\x07\x00
501152 ,  \xa0\xa5\x07\x00
501153 ,  \xa1\xa5\x07\x00
501154 ,  \xa2\xa5\x07\x00
501155 ,  \xa3\xa5\x07\x00
501156 ,  \xa4\xa5\x07\x00
501157 ,  \xa5\xa5\x07\x00
501158 ,  \xa6\xa5\x07\x00
501159 ,  \xa7\xa5\x07\x00
501160 ,  \xa8\xa5\x07\x00
501174 ,  \xb6\xa5\x07\x00
501175 ,  \xb7\xa5\x07\x00
501255 ,  \x07\xa6\x07\x00
501257 ,  \x09\xa6\x07\x00
501412 ,  \xa4\xa6\x07\x00
501413 ,  \xa5\xa6\x07\x00
501574 ,  \x46\xa7\x07\x00
501575 ,  \x47\xa7\x07\x00
501576 ,  \x48\xa7\x07\x00
501577 ,  \x49\xa7\x07\x00
501578 ,  \x4a\xa7\x07\x00
501579 ,  \x4b\xa7\x07\x00
501580 ,  \x4c\xa7\x07\x00
501581 ,  \x4d\xa7\x07\x00
501582 ,  \x4e\xa7\x07\x00
501583 ,  \x4f\xa7\x07\x00
501961 ,  \xc9\xa8\x07\x00
502102 ,  \x56\xa9\x07\x00
502103 ,  \x57\xa9\x07\x00
502104 ,  \x58\xa9\x07\x00
502105 ,  \x59\xa9\x07\x00
502106 ,  \x5a\xa9\x07\x00
502107 ,  \x5b\xa9\x07\x00
502108 ,  \x5c\xa9\x07\x00
502109 ,  \x5d\xa9\x07\x00
502659 ,  \x83\xab\x07\x00
502660 ,  \x84\xab\x07\x00
502661 ,  \x85\xab\x07\x00
502662 ,  \x86\xab\x07\x00
502850 ,  \x42\xac\x07\x00
502851 ,  \x43\xac\x07\x00
502852 ,  \x44\xac\x07\x00
502853 ,  \x45\xac\x07\x00
502854 ,  \x46\xac\x07\x00
502855 ,  \x47\xac\x07\x00
502856 ,  \x48\xac\x07\x00
502857 ,  \x49\xac\x07\x00
502858 ,  \x4a\xac\x07\x00
502859 ,  \x4b\xac\x07\x00
502860 ,  \x4c\xac\x07\x00
502861 ,  \x4d\xac\x07\x00
502862 ,  \x4e\xac\x07\x00
502863 ,  \x4f\xac\x07\x00
502864 ,  \x50\xac\x07\x00
502865 ,  \x51\xac\x07\x00
502866 ,  \x52\xac\x07\x00
502867 ,  \x53\xac\x07\x00
502868 ,  \x54\xac\x07\x00
502869 ,  \x55\xac\x07\x00
502870 ,  \x56\xac\x07\x00
502871 ,  \x57\xac\x07\x00
502872 ,  \x58\xac\x07\x00
502873 ,  \x59\xac\x07\x00
502874 ,  \x5a\xac\x07\x00
502875 ,  \x5b\xac\x07\x00
502876 ,  \x5c\xac\x07\x00
502877 ,  \x5d\xac\x07\x00
502878 ,  \x5e\xac\x07\x00
502879 ,  \x5f\xac\x07\x00
502880 ,  \x60\xac\x07\x00
502881 ,  \x61\xac\x07\x00
502882 ,  \x62\xac\x07\x00
502915 ,  \x83\xac\x07\x00
502916 ,  \x84\xac\x07\x00
502917 ,  \x85\xac\x07\x00
502918 ,  \x86\xac\x07\x00
502919 ,  \x87\xac\x07\x00
502920 ,  \x88\xac\x07\x00
502921 ,  \x89\xac\x07\x00
502922 ,  \x8a\xac\x07\x00
502923 ,  \x8b\xac\x07\x00
502924 ,  \x8c\xac\x07\x00
502925 ,  \x8d\xac\x07\x00
502926 ,  \x8e\xac\x07\x00
502927 ,  \x8f\xac\x07\x00
502928 ,  \x90\xac\x07\x00
502929 ,  \x91\xac\x07\x00
502930 ,  \x92\xac\x07\x00
502931 ,  \x93\xac\x07\x00
502932 ,  \x94\xac\x07\x00
502933 ,  \x95\xac\x07\x00
502934 ,  \x96\xac\x07\x00
502935 ,  \x97\xac\x07\x00
502936 ,  \x98\xac\x07\x00
502937 ,  \x99\xac\x07\x00
502938 ,  \x9a\xac\x07\x00
502939 ,  \x9b\xac\x07\x00
502940 ,  \x9c\xac\x07\x00
502941 ,  \x9d\xac\x07\x00
502942 ,  \x9e\xac\x07\x00
502943 ,  \x9f\xac\x07\x00
503073 ,  \x21\xad\x07\x00
503074 ,  \x22\xad\x07\x00
503075 ,  \x23\xad\x07\x00
503076 ,  \x24\xad\x07\x00
503078 ,  \x26\xad\x07\x00
503081 ,  \x29\xad\x07\x00
503095 ,  \x37\xad\x07\x00
503096 ,  \x38\xad\x07\x00
503174 ,  \x86\xad\x07\x00
503175 ,  \x87\xad\x07\x00
503176 ,  \x88\xad\x07\x00
503177 ,  \x89\xad\x07\x00
503178 ,  \x8a\xad\x07\x00
503179 ,  \x8b\xad\x07\x00
503180 ,  \x8c\xad\x07\x00
503181 ,  \x8d\xad\x07\x00
503182 ,  \x8e\xad\x07\x00
503205 ,  \xa5\xad\x07\x00
503206 ,  \xa6\xad\x07\x00
503207 ,  \xa7\xad\x07\x00
503208 ,  \xa8\xad\x07\x00
503209 ,  \xa9\xad\x07\x00
503210 ,  \xaa\xad\x07\x00
503211 ,  \xab\xad\x07\x00
503212 ,  \xac\xad\x07\x00
503213 ,  \xad\xad\x07\x00
503214 ,  \xae\xad\x07\x00
503215 ,  \xaf\xad\x07\x00
503216 ,  \xb0\xad\x07\x00
503217 ,  \xb1\xad\x07\x00
503218 ,  \xb2\xad\x07\x00
503219 ,  \xb3\xad\x07\x00
503220 ,  \xb4\xad\x07\x00
503223 ,  \xb7\xad\x07\x00
503224 ,  \xb8\xad\x07\x00
503225 ,  \xb9\xad\x07\x00
503226 ,  \xba\xad\x07\x00
503227 ,  \xbb\xad\x07\x00
503229 ,  \xbd\xad\x07\x00
503231 ,  \xbf\xad\x07\x00
503233 ,  \xc1\xad\x07\x00
503235 ,  \xc3\xad\x07\x00
503237 ,  \xc5\xad\x07\x00
503238 ,  \xc6\xad\x07\x00
503239 ,  \xc7\xad\x07\x00
503240 ,  \xc8\xad\x07\x00
503242 ,  \xca\xad\x07\x00
503243 ,  \xcb\xad\x07\x00
503244 ,  \xcc\xad\x07\x00
503245 ,  \xcd\xad\x07\x00
503246 ,  \xce\xad\x07\x00
503247 ,  \xcf\xad\x07\x00
503248 ,  \xd0\xad\x07\x00
503250 ,  \xd2\xad\x07\x00
503251 ,  \xd3\xad\x07\x00
503252 ,  \xd4\xad\x07\x00
503253 ,  \xd5\xad\x07\x00
503254 ,  \xd6\xad\x07\x00
503255 ,  \xd7\xad\x07\x00
503256 ,  \xd8\xad\x07\x00
503257 ,  \xd9\xad\x07\x00
503258 ,  \xda\xad\x07\x00
503259 ,  \xdb\xad\x07\x00
503261 ,  \xdd\xad\x07\x00
503262 ,  \xde\xad\x07\x00
503263 ,  \xdf\xad\x07\x00
503264 ,  \xe0\xad\x07\x00
503265 ,  \xe1\xad\x07\x00
503266 ,  \xe2\xad\x07\x00
503267 ,  \xe3\xad\x07\x00
503269 ,  \xe5\xad\x07\x00
503270 ,  \xe6\xad\x07\x00
503273 ,  \xe9\xad\x07\x00
503274 ,  \xea\xad\x07\x00
503275 ,  \xeb\xad\x07\x00
503276 ,  \xec\xad\x07\x00
503277 ,  \xed\xad\x07\x00
503278 ,  \xee\xad\x07\x00
503279 ,  \xef\xad\x07\x00
503280 ,  \xf0\xad\x07\x00
503282 ,  \xf2\xad\x07\x00
503283 ,  \xf3\xad\x07\x00
503284 ,  \xf4\xad\x07\x00
503285 ,  \xf5\xad\x07\x00
503286 ,  \xf6\xad\x07\x00
503287 ,  \xf7\xad\x07\x00
503288 ,  \xf8\xad\x07\x00
503289 ,  \xf9\xad\x07\x00
503290 ,  \xfa\xad\x07\x00
503291 ,  \xfb\xad\x07\x00
503292 ,  \xfc\xad\x07\x00
503293 ,  \xfd\xad\x07\x00
503294 ,  \xfe\xad\x07\x00
503295 ,  \xff\xad\x07\x00
503296 ,  \x00\xae\x07\x00
503297 ,  \x01\xae\x07\x00
503298 ,  \x02\xae\x07\x00
503299 ,  \x03\xae\x07\x00
503300 ,  \x04\xae\x07\x00
503301 ,  \x05\xae\x07\x00
503302 ,  \x06\xae\x07\x00
503303 ,  \x07\xae\x07\x00
503304 ,  \x08\xae\x07\x00
503305 ,  \x09\xae\x07\x00
503306 ,  \x0a\xae\x07\x00
503307 ,  \x0b\xae\x07\x00
503315 ,  \x13\xae\x07\x00
503317 ,  \x15\xae\x07\x00
503320 ,  \x18\xae\x07\x00
503321 ,  \x19\xae\x07\x00
503322 ,  \x1a\xae\x07\x00
503323 ,  \x1b\xae\x07\x00
503324 ,  \x1c\xae\x07\x00
503325 ,  \x1d\xae\x07\x00
503327 ,  \x1f\xae\x07\x00
503330 ,  \x22\xae\x07\x00
503337 ,  \x29\xae\x07\x00
503340 ,  \x2c\xae\x07\x00
503341 ,  \x2d\xae\x07\x00
503342 ,  \x2e\xae\x07\x00
503343 ,  \x2f\xae\x07\x00
503344 ,  \x30\xae\x07\x00
503345 ,  \x31\xae\x07\x00
503346 ,  \x32\xae\x07\x00
503347 ,  \x33\xae\x07\x00
503348 ,  \x34\xae\x07\x00
503349 ,  \x35\xae\x07\x00
503350 ,  \x36\xae\x07\x00
503351 ,  \x37\xae\x07\x00
503352 ,  \x38\xae\x07\x00
503353 ,  \x39\xae\x07\x00
503354 ,  \x3a\xae\x07\x00
503355 ,  \x3b\xae\x07\x00
503356 ,  \x3c\xae\x07\x00
503357 ,  \x3d\xae\x07\x00
503358 ,  \x3e\xae\x07\x00
503359 ,  \x3f\xae\x07\x00
503360 ,  \x40\xae\x07\x00
503361 ,  \x41\xae\x07\x00
503362 ,  \x42\xae\x07\x00
503365 ,  \x45\xae\x07\x00
503366 ,  \x46\xae\x07\x00
503367 ,  \x47\xae\x07\x00
503370 ,  \x4a\xae\x07\x00
503371 ,  \x4b\xae\x07\x00
503373 ,  \x4d\xae\x07\x00
503374 ,  \x4e\xae\x07\x00
503375 ,  \x4f\xae\x07\x00
503376 ,  \x50\xae\x07\x00
503377 ,  \x51\xae\x07\x00
503378 ,  \x52\xae\x07\x00
503379 ,  \x53\xae\x07\x00
503380 ,  \x54\xae\x07\x00
503381 ,  \x55\xae\x07\x00
503382 ,  \x56\xae\x07\x00
503383 ,  \x57\xae\x07\x00
503384 ,  \x58\xae\x07\x00
503385 ,  \x59\xae\x07\x00
503386 ,  \x5a\xae\x07\x00
503387 ,  \x5b\xae\x07\x00
503388 ,  \x5c\xae\x07\x00
503389 ,  \x5d\xae\x07\x00
503390 ,  \x5e\xae\x07\x00
503391 ,  \x5f\xae\x07\x00
503392 ,  \x60\xae\x07\x00
503393 ,  \x61\xae\x07\x00
503394 ,  \x62\xae\x07\x00
503395 ,  \x63\xae\x07\x00
503396 ,  \x64\xae\x07\x00
503397 ,  \x65\xae\x07\x00
503458 ,  \xa2\xae\x07\x00
503459 ,  \xa3\xae\x07\x00
503460 ,  \xa4\xae\x07\x00
503461 ,  \xa5\xae\x07\x00
503462 ,  \xa6\xae\x07\x00
503463 ,  \xa7\xae\x07\x00
503464 ,  \xa8\xae\x07\x00
503465 ,  \xa9\xae\x07\x00
503466 ,  \xaa\xae\x07\x00
503467 ,  \xab\xae\x07\x00
503468 ,  \xac\xae\x07\x00
503469 ,  \xad\xae\x07\x00
503470 ,  \xae\xae\x07\x00
503471 ,  \xaf\xae\x07\x00
503472 ,  \xb0\xae\x07\x00
503473 ,  \xb1\xae\x07\x00
503474 ,  \xb2\xae\x07\x00
503475 ,  \xb3\xae\x07\x00
503476 ,  \xb4\xae\x07\x00
503482 ,  \xba\xae\x07\x00
503483 ,  \xbb\xae\x07\x00
503484 ,  \xbc\xae\x07\x00
503485 ,  \xbd\xae\x07\x00
503486 ,  \xbe\xae\x07\x00
503487 ,  \xbf\xae\x07\x00
503488 ,  \xc0\xae\x07\x00
503489 ,  \xc1\xae\x07\x00
503490 ,  \xc2\xae\x07\x00
503491 ,  \xc3\xae\x07\x00
503492 ,  \xc4\xae\x07\x00
503493 ,  \xc5\xae\x07\x00
503494 ,  \xc6\xae\x07\x00
503495 ,  \xc7\xae\x07\x00
